id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
530391,2016,ABRIL,LUNES,2016-04-18,8,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5786992179999,-58.4795568,1
530394,2016,ABRIL,MARTES,2016-04-19,16,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5786992179999,-58.479556799,1
530451,2016,ABRIL,VIERNES,2016-04-29,0,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.57298681,-58.47873114,1
530460,2016,ABRIL,LUNES,2016-04-18,14,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.574917349,-58.47865286,1
530490,2016,ABRIL,VIERNES,2016-04-22,8,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.57798815,-58.4783763569999,1
530499,2016,ABRIL,JUEVES,2016-04-28,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5727228019999,-58.478280189,1
530553,2016,ABRIL,VIERNES,2016-04-29,0,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.577624154,-58.4777381599999,1
530580,2016,ABRIL,DOMINGO,2016-04-17,13,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.570855453,-58.477350714,1
530640,2016,ABRIL,MARTES,2016-04-19,8,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5679617719999,-58.476848033,1
530643,2016,ABRIL,MARTES,2016-04-19,11,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5679617719999,-58.476848033,1
530712,2016,ABRIL,SABADO,2016-04-23,2,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.5701096299999,-58.476231282,1
534489,2016,DICIEMBRE,JUEVES,2016-12-08,5,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5668912269999,-58.480725691,1
534534,2016,DICIEMBRE,MIERCOLES,2016-12-07,9,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.567140985,-58.480423945,1
534540,2016,DICIEMBRE,LUNES,2016-12-12,8,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.567140985,-58.480423945,1
534552,2016,DICIEMBRE,LUNES,2016-12-05,18,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5656307679999,-58.480351202,1
534606,2016,DICIEMBRE,JUEVES,2016-12-15,9,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.568174115,-58.479602487,1
534612,2016,DICIEMBRE,MARTES,2016-12-13,19,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.56811298,-58.479574492,1
534693,2016,DICIEMBRE,JUEVES,2016-12-08,17,Robo,Robo automotor,NO,NO,VILLA URQUIZA,12,-34.574079479,-58.478563091,1
534729,2016,DICIEMBRE,MIERCOLES,2016-12-07,20,Robo,Robo automotor,SI,NO,VILLA URQUIZA,12,-34.5712789469999,-58.478157951,1
534744,2016,DICIEMBRE,LUNES,2016-12-05,9,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5697595569999,-58.478059378,1
534765,2016,DICIEMBRE,VIERNES,2016-12-09,3,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.577624154,-58.4777381599999,1
534852,2016,DICIEMBRE,LUNES,2016-12-12,8,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5679617719999,-58.476848033,1
534897,2016,DICIEMBRE,MIERCOLES,2016-12-07,17,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.575587189,-58.476453185,1
534921,2016,DICIEMBRE,DOMINGO,2016-12-04,2,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5701096299999,-58.476231282,1
535746,2016,MARZO,JUEVES,2016-03-10,22,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.577034533,-58.478190942,1
535821,2016,MARZO,VIERNES,2016-03-11,13,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5721312659999,-58.477407425,1
535947,2016,MARZO,JUEVES,2016-03-10,16,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575345706,-58.475977466,1
536112,2016,MARZO,LUNES,2016-03-07,20,Robo,Robo total,SI,NO,NUÑEZ,13,-34.539174579,-58.474221632,1
536265,2016,ABRIL,LUNES,2016-04-18,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.569565933,-58.475302153,1
536451,2016,ABRIL,LUNES,2016-04-25,15,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5405452859999,-58.473208902,1
536523,2016,ABRIL,VIERNES,2016-04-29,0,Robo,Robo total,SI,NO,NUÑEZ,13,-34.553795571,-58.472472609,1
539529,2016,DICIEMBRE,DOMINGO,2016-12-04,22,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.576195061,-58.475200232,1
539778,2016,DICIEMBRE,VIERNES,2016-12-16,7,Robo,Robo total,NO,NO,NUÑEZ,13,-34.541240162,-58.472612687,1
539817,2016,DICIEMBRE,VIERNES,2016-12-09,21,Robo,Robo total,SI,NO,NUÑEZ,13,-34.541918761,-58.4720245949999,1
539820,2016,DICIEMBRE,LUNES,2016-12-12,21,Robo,Robo automotor,NO,NO,NUÑEZ,13,-34.538492463,-58.471983601,1
539871,2016,DICIEMBRE,MARTES,2016-12-06,18,Robo,Robo total,SI,SI,NUÑEZ,13,-34.551698894,-58.471599123,1
539886,2016,DICIEMBRE,JUEVES,2016-12-15,8,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5386456479999,-58.4714161059999,1
539976,2016,DICIEMBRE,LUNES,2016-12-05,23,Robo,Robo total,NO,NO,NUÑEZ,13,-34.551197448,-58.470760657,1
539985,2016,DICIEMBRE,VIERNES,2016-12-16,13,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5710336609999,-58.470662639,1
540024,2016,DICIEMBRE,MARTES,2016-12-06,4,Robo,Robo total,NO,NO,NUÑEZ,13,-34.544190046,-58.470394493,1
540819,2016,MARZO,SABADO,2016-03-05,22,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5731303979999,-58.472419187,1
